label,North_Atlantic,Baltic,West_Med,West_Asian,East_Med,Red_Sea,South_Asian,East_Asian,Siberian,Amerindian,Oceanian,Northeast_African,Sub-Saharan
Abhkasian,1.64,4.62,9.81,54.30,22.78,1.84,1.91,1.48,1.11,0.17,0.33,0.01,0.01
Algerian,10.96,0.51,22.38,0.11,28.26,15.84,0.08,0.39,0.08,0.20,0.23,10.44,10.51
Algerian_Jewish,12.58,3.47,22.86,10.35,37.03,7.63,0.75,0.51,0.27,0.00,0.43,2.22,1.91
Armenian,2.79,0.85,13.02,38.87,34.79,5.23,3.41,0.43,0.03,0.05,0.44,0.04,0.05
Ashkenazi,15.32,10.16,18.44,10.29,39.61,5.98,01.04,0.79,0.97,0.46,0.29,1.15,0.50
Assyrian,1.41,1.84,11.50,32.63,39.64,7.78,3.76,0.71,0.20,0.19,0.15,0.19,0.02
Bedouin,1.25,1.19,11.06,14.43,38.15,21.40,1.85,0.25,0.69,0.27,0.21,6.33,2.91
Belorussian,29.37,49.40,7.59,3.87,4.98,1.44,0.97,0.18,1.32,0.18,0.38,0.20,0.13
Cyprian,5.67,2.81,19.86,20.34,41.08,8.12,0.50,0.07,0.23,0.00,0.47,0.30,0.54
East_German,37.34,32.19,14.57,6.15,6.42,0.96,1.46,0.02,0.19,0.38,0.05,0.13,0.14
Egyptian,3.00,0.09,11.72,7.86,39.56,18.84,0.09,0.14,0.30,0.10,0.23,11.83,6.24
Georgian,3.72,5.52,10.13,52.14,21.85,3.22,1.80,0.65,0.37,0.42,0.12,0.03,0.03
Georgian_Jewish,0.77,3.28,10.91,36.22,36.59,8.26,2.98,0.37,0.09,0.26,0.16,0.11,0.00
Iranian,02.07,4.23,4.23,38.20,29.70,7.48,10.56,0.04,1.34,0.28,0.24,0.17,1.47
Iranian_Jewish,1.26,0.87,8.94,29.82,41.97,9.77,5.83,0.01,0.25,0.01,0.33,0.74,0.20
Italian_Abruzzo,22.21,8.65,20.33,15.04,27.45,4.90,0.18,0.25,0.24,0.15,0.41,0.10,0.08
Italian_Jewish,15.54,2.81,21.20,10.89,38.45,07.05,0.14,0.70,0.21,0.27,0.88,1.82,0.06
Jordanian,2.45,0.69,10.94,18.25,40.75,14.70,1.48,0.40,0.16,0.61,0.50,6.96,2.12
Kurdish,3.67,3.55,6.20,40.33,29.77,5.69,08.07,0.36,01.01,0.49,0.28,0.52,0.07
Kurdish_Jewish,0.80,0.29,10.41,30.50,41.89,10.63,3.93,0.57,0.05,0.14,0.26,0.53,0.00
Lebanese_Christian,1.47,0.19,15.36,20.76,47.26,12.40,0.77,0.59,0.19,0.01,0.17,0.83,0.01
Lebanese_Druze,05.04,1.19,10.62,21.22,48.65,9.37,1.61,0.45,0.53,0.01,0.42,0.58,0.30
Lebanese_Muslim,4.62,1.30,13.94,23.11,39.72,10.79,2.44,0.19,0.07,0.01,0.62,2.22,0.95
Libyan_Jewish,11.29,0.51,18.89,11.41,38.94,10.84,0.70,0.04,0.01,0.52,0.59,5.28,0.99
Lithuanian,28.87,53.90,7.17,3.91,1.48,0.76,1.34,0.06,0.82,0.77,0.41,0.29,0.22
North_German,47.17,27.37,10.33,7.12,4.24,0.91,1.46,0.04,0.12,0.43,0.28,0.37,0.17
North_Italian,31.68,11.93,25.76,6.90,19.58,2.78,0.56,0.34,0.13,0.05,0.21,0.04,0.03
Palestinian,3.85,0.23,10.74,16.62,43.55,16.13,1.56,0.42,0.14,0.45,0.03,4.89,1.37
Polish,30.43,45.49,10.42,5.43,3.74,1.24,0.96,0.11,0.29,0.84,0.26,0.51,0.28
Romanian,24.37,24.49,17.09,11.28,18.04,2.14,0.55,0.27,0.83,0.60,0.18,0.09,0.06
Russian_Smolensk,28.16,48.47,8.74,5.82,3.83,1.69,1.38,0.17,0.85,0.43,0.38,0.06,0.01
Samaritan,1.69,0.36,16.45,18.39,45.52,13.82,0.98,0.08,0.10,0.00,0.26,2.35,0.00
Saudi,0.17,0.18,5.91,10.01,42.83,34.20,1.72,0.34,0.09,0.11,0.19,04.08,0.17
Sephardic_Jewish,15.63,1.81,19.83,13.04,36.91,8.90,0.61,0.38,0.78,0.00,0.33,1.12,0.65
Syrian,3.40,0.83,13.31,21.61,37.83,13.75,3.44,0.23,0.19,0.24,0.48,2.93,1.77
Tunisian,9.41,01.02,22.23,0.71,30.54,14.99,0.01,0.26,0.35,0.00,0.39,9.20,10.88
Tunisian_Jewish,12.01,0.66,18.66,12.12,39.64,10.43,0.21,0.32,0.41,0.08,0.64,3.69,1.12
West_German,43.14,22.44,14.78,6.85,8.54,0.86,0.94,0.13,0.40,0.60,0.64,0.47,0.22
Yemenite_Jewish,0.23,0.00,5.52,6.28,52.36,28.49,0.71,0.06,0.23,0.19,0.25,5.68,0.00
