Population,Pygmy,West-Asian,North-European-Mesolithic,Indo-Tibetan,Mesoamerican,Arctic-Amerind,South-America_Amerind,Indian,North-Siberean,Atlantic_Mediterranean_Neolithic,Samoedic,Indo-Iranian,East-Siberean,North-East-European,South-African,North-Amerind,Sub-Saharian,East-South-Asian,Near_East,Melanesian,Paleo-Siberian,Austronesian
Abhkasian,0.00,64.90,0.80,0.50,0.00,0.30,0.00,0.00,0.70,21.40,0.10,0.20,0.20,3.60,0.10,0.10,0.30,0.10,5.40,0.30,0.60,0.40
Armenian,0.00,50.70,0.10,0.10,0.00,0.10,0.20,0.60,0.00,24.90,0.00,0.60,0.00,2.00,0.00,0.10,0.00,0.00,20.20,0.20,0.10,0.10
Ashkenazim,0.10,18.76,0.40,0.50,3.41,0.20,1.10,0.10,0.10,35.31,0.00,1.60,0.20,10.53,0.30,2.31,01.10,0.10,23.37,0.40,0.10,0.00
Austrian,0.10,6.90,2.10,0.40,0.30,0.20,0.10,0.20,0.00,32.90,0.30,1.80,0.00,50.30,0.20,0.20,0.20,0.00,3.10,0.20,0.20,0.30
Azeri,0.10,47.80,1.00,0.60,0.30,0.50,0.20,2.99,0.50,16.77,1.50,2.50,1.20,6.29,0.10,0.40,0.10,1.20,15.07,0.20,0.50,0.20
Balkarian,0.00,48.60,1.30,0.70,0.30,0.50,0.30,0.40,0.90,19.30,1.70,0.70,2.30,14.90,0.00,0.50,0.00,1.50,4.90,0.20,0.70,0.30
Balochi,0.10,47.85,1.90,0.20,0.30,0.20,0.30,26.53,0.60,0.20,0.80,6.91,0.10,4.20,0.10,0.20,2.00,0.40,6.61,0.20,0.20,0.10
Basque,0.00,0.10,2.10,0.10,0.00,0.10,0.10,0.60,0.00,59.14,0.20,1.10,0.10,32.97,0.00,0.10,0.00,0.00,3.00,0.10,0.10,0.10
Bedouin,0.60,18.28,0.30,0.20,0.00,0.10,0.10,0.40,0.00,11.09,0.00,0.20,0.00,0.40,0.30,0.00,11.09,0.00,56.64,0.10,0.10,0.10
Belarusian,0.00,2.70,01.10,0.50,0.20,0.20,0.20,0.40,0.30,12.89,0.50,0.30,0.10,76.32,0.10,0.20,0.00,0.10,3.40,0.20,0.10,0.20
Bosnian,0.00,11.40,0.40,0.40,0.00,0.20,0.20,0.20,0.20,28.90,0.30,0.60,0.00,50.00,0.00,0.30,0.00,0.00,6.40,0.20,0.20,0.10
Brahui,0.10,52.50,2.20,0.10,0.10,0.10,0.40,23.40,0.00,0.50,0.70,6.60,0.00,3.60,0.00,0.20,1.30,0.00,7.70,0.20,0.20,0.10
British,0.00,4.80,5.71,0.10,0.10,0.10,0.10,0.20,0.00,39.04,0.20,2.80,0.00,46.35,0.00,0.10,0.00,0.00,0.20,0.10,0.00,0.10
Bulgarian,0.10,15.32,0.10,0.20,0.10,0.20,0.20,0.10,0.20,32.73,0.30,0.50,0.20,38.44,0.00,0.20,0.00,0.00,10.21,0.30,0.40,0.20
